日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20230703,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.66,-0.02,-0.02,0.00,0.00,23051
20230704,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.72,0.06,0.04,0.00,0.00,23088
20230705,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.70,-0.01,-0.01,0.00,0.00,23133
20230706,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.71,0.01,0.01,0.00,0.00,23147
20230707,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.78,0.07,0.05,0.00,0.00,23136
20230710,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.83,0.05,0.04,0.00,0.00,23096
20230711,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.88,0.05,0.03,0.00,0.00,23111
20230712,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.89,0.01,0.01,0.00,0.00,23111
20230713,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.92,0.03,0.02,0.00,0.00,23111
20230714,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,142.95,0.03,0.02,0.00,0.00,23110
20230717,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.01,0.07,0.05,0.00,0.00,23088
20230718,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.07,0.05,0.04,0.00,0.00,23108
20230719,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.08,0.02,0.01,0.00,0.00,23126
20230720,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.10,0.01,0.01,0.00,0.00,23129
20230721,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.16,0.07,0.05,0.00,0.00,23146
20230724,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.26,0.09,0.07,0.00,0.00,23140
20230725,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.00,-0.25,-0.18,0.00,0.00,23165
20230726,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.07,0.07,0.05,0.00,0.00,23217
20230727,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.18,0.11,0.08,0.00,0.00,23227
20230728,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.15,-0.03,-0.02,0.00,0.00,23246
20230731,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.13,-0.02,-0.01,0.00,0.00,23274
20230801,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.18,0.05,0.04,0.00,0.00,23354
20230802,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.22,0.04,0.03,0.00,0.00,23382
20230803,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.28,0.06,0.04,0.00,0.00,23394
